School,County,Date,Days 
616 Lake Forest CHSD 115,Lake,After 6/30,Remain Open for the entire year
617 Lake Forest SD 67,Lake,After 6/30,Remain Open for the entire year
618 Fox Lake GSD 114,Lake,After 6/30,Remain Open for the entire year
619 Grayslake CHSD 127,Lake,After 6/30,Remain Open for the entire year
620 Barrington CUSD 220,Lake,After 6/30,Remain Open for the entire year
621 Wauconda CUSD 118,Lake,After 6/30,Remain Open for the entire year
622 Lake Villa CCSD 41,Lake,After 6/30,Remain Open for the entire year
623 Warren Twp HSD 121,Lake,After 6/30,Remain Open for the entire year
624 Deerfield SD 109,Lake,After 6/30,Remain Open for the entire year
625 Woodland CCSD 50,Lake,After 6/30,Remain Open for the entire year
626 Zion-Benton Twp HSD 126,Lake,After 6/30,Remain Open for the entire year
627 Antioch CCSD 34,Lake,After 6/30,Remain Open for the entire year
628 North Shore SD 112,Lake,After 6/30,Remain Open for the entire year
629 Mundelein ESD 75,Lake,After 6/30,Remain Open for the entire year
630 Winthrop Harbor SD 1,Lake,After 6/30,Remain Open for the entire year
631 CHSD 117,Lake,After 6/30,Remain Open for the entire year
632 Mundelein Cons HSD 120,Lake,After 6/30,Remain Open for the entire year
633 Diamond Lake SD 76,Lake,After 6/30,Remain Open for the entire year
634 Twp HSD 113,Lake,After 6/30,Remain Open for the entire year
635 Rondout SD 72,Lake,After 6/30,Remain Open for the entire year
636 Lake Zurich CUSD 95,Lake,After 6/30,Remain Open for the entire year
637 Hawthorn CCSD 73,Lake,After 6/30,Remain Open for the entire year
638 Gurnee SD 56,Lake,After 6/30,Remain Open for the entire year
639 Emmons SD 33,Lake,After 6/30,Remain Open for the entire year
640 Grass Lake SD 36,Lake,After 6/30,Remain Open for the entire year
641 Libertyville SD 70,Lake,After 6/30,Remain Open for the entire year
642 Lincolnshire-Prairieview SD 103,Lake,After 6/30,Remain Open for the entire year
643 Fremont SD 79,Lake,After 6/30,Remain Open for the entire year
644 Aptakisic-Tripp CCSD 102,Lake,After 6/30,Remain Open for the entire year
645 CHSD 128,Lake,After 6/30,Remain Open for the entire year
646 Adlai E Stevenson HSD 125,Lake,After 6/30,Remain Open for the entire year
647 Grant CHSD 124,Lake,After 6/30,Remain Open for the entire year
648 Kildeer Countryside CCSD 96,Lake,After 6/30,Remain Open for the entire year
649 Bannockburn SD 106,Lake,After 6/30,Remain Open for the entire year
2 Streator ESD 44,LaSalle,9/3/2016,9
58 Ottawa ESD 141,LaSalle,1/16/2017,144
62 La Salle ESD 122,LaSalle,1/19/2017,147
129 Miller Twp CCSD 210,LaSalle,3/4/2017,191
271 Streator Twp HSD 40,LaSalle,5/15/2017,263
343 Peru ESD 124,LaSalle,6/18/2017,Remain Open for the entire year
348 Oglesby ESD 125,LaSalle,6/20/2017,Remain Open for the entire year
650 Marseilles ESD 150,LaSalle,After 6/30,Remain Open for the entire year
651 Mendota CCSD 289,LaSalle,After 6/30,Remain Open for the entire year
652 Tonica CCSD 79,LaSalle,After 6/30,Remain Open for the entire year
653 La Salle-Peru Twp HSD 120,LaSalle,After 6/30,Remain Open for the entire year
654 Wallace CCSD 195,LaSalle,After 6/30,Remain Open for the entire year
655 Lostant CUSD 425,LaSalle,After 6/30,Remain Open for the entire year
656 Ottawa Twp HSD 140,LaSalle,After 6/30,Remain Open for the entire year
657 Grand Ridge CCSD 95,LaSalle,After 6/30,Remain Open for the entire year
658 Allen-Otter Creek CCSD 65,LaSalle,After 6/30,Remain Open for the entire year
659 Mendota Twp HSD 280,LaSalle,After 6/30,Remain Open for the entire year
660 Rutland CCSD 230,LaSalle,After 6/30,Remain Open for the entire year
661 Seneca Twp HSD 160,LaSalle,After 6/30,Remain Open for the entire year
662 Waltham CCSD 185,LaSalle,After 6/30,Remain Open for the entire year
663 Leland CUSD 1,LaSalle,After 6/30,Remain Open for the entire year
664 Serena CUSD 2,LaSalle,After 6/30,Remain Open for the entire year
665 Deer Park CCSD 82,LaSalle,After 6/30,Remain Open for the entire year
666 Dimmick CCSD 175,LaSalle,After 6/30,Remain Open for the entire year
667 Dwight Twp HSD 230,LaSalle,After 6/30,Remain Open for the entire year
668 Seneca CCSD 170,LaSalle,After 6/30,Remain Open for the entire year
18 Red Hill CUSD 10,Lawrence,11/13/2016,80
79 Lawrence County CUD 20,Lawrence,1/31/2017,159
321 Dixon USD 170,Lee,6/5/2017,Remain Open for the entire year
669 Paw Paw CUSD 271,Lee,After 6/30,Remain Open for the entire year
670 Steward ESD 220,Lee,After 6/30,Remain Open for the entire year
671 Ashton-Franklin Center CUSD 275,Lee,After 6/30,Remain Open for the entire year
672 Amboy CUSD 272,Lee,After 6/30,Remain Open for the entire year
225 Prairie Central CUSD 8,Livingston,4/26/2017,244
226 Pontiac Twp HSD 90,Livingston,4/26/2017,244
235 Flanagan-Cornell Dist 74,Livingston,4/29/2017,247
266 Tri Point CUSD 6-J,Livingston,5/13/2017,261
294 Woodland CUSD 5,Livingston,5/24/2017,272
341 Pontiac CCSD 429,Livingston,6/17/2017,Remain Open for the entire year
673 Dwight Twp HSD 232,Livingston,After 6/30,Remain Open for the entire year
674 Odell CCSD 435,Livingston,After 6/30,Remain Open for the entire year
675 Cornell CCSD 426,Livingston,After 6/30,Remain Open for the entire year
676 Saunemin CCSD 438,Livingston,After 6/30,Remain Open for the entire year
677 Rooks Creek CCSD 425,Livingston,After 6/30,Remain Open for the entire year
344 Lincoln ESD 27,Logan,6/18/2017,Remain Open for the entire year
678 Mt Pulaski CUSD 23,Logan,After 6/30,Remain Open for the entire year
679 West Lincoln-Broadwell ESD 92,Logan,After 6/30,Remain Open for the entire year
680 Chester-East Lincoln CCSD 61,Logan,After 6/30,Remain Open for the entire year
681 Hartsburg Emden CUSD 21,Logan,After 6/30,Remain Open for the entire year
682 Lincoln CHSD 404,Logan,After 6/30,Remain Open for the entire year
683 New Holland-Middletown ED 88,Logan,After 6/30,Remain Open for the entire year
102 Decatur SD 61,Macon,2/11/2017,170
206 Meridian CUSD 15,Macon,4/14/2017,232
255 Maroa Forsyth CUSD 2,Macon,5/6/2017,254
285 Mt Zion CUSD 3,Macon,5/22/2017,270
310 Argenta-Oreana CUSD 1,Macon,5/31/2017,279
318 Warrensburg-Latham CUSD 11,Macon,6/3/2017,Remain Open for the entire year
684 Sangamon Valley CUSD 9,Macon,After 6/30,Remain Open for the entire year
47 Gillespie CUSD 7,Macoupin,1/4/2017,132
48 Mount Olive CUSD 5,Macoupin,1/5/2017,133
139 Staunton CUSD 6,Macoupin,3/12/2017,199
159 Southwestern CUSD 9,Macoupin,3/23/2017,210
184 North Mac CUSD 34,Macoupin,4/4/2017,222
207 Bunker Hill CUSD 8,Macoupin,4/14/2017,232
282 Carlinville CUSD 1,Macoupin,5/21/2017,269
685 Northwestern CUSD 2,Macoupin,After 6/30,Remain Open for the entire year
16 Madison CUSD 12,Madison,11/10/2016,77
31 East Alton-Wood River CHSD 14,Madison,12/20/2016,117
40 Bethalto CUSD 8,Madison,12/28/2016,125
46 Triad CUSD 2,Madison,1/3/2017,131
53 Alton CUSD 11,Madison,1/7/2017,135
84 Granite City CUSD 9,Madison,2/3/2017,162
119 Edwardsville CUSD 7,Madison,2/24/2017,183
150 Highland CUSD 5,Madison,3/20/2017,207
151 Collinsville CUSD 10,Madison,3/20/2017,207
686 Wood River-Hartford ESD 15,Madison,After 6/30,Remain Open for the entire year
687 Venice CUSD 3,Madison,After 6/30,Remain Open for the entire year
688 East Alton SD 13,Madison,After 6/30,Remain Open for the entire year
689 Roxana CUSD 1,Madison,After 6/30,Remain Open for the entire year
24 Central City SD 133,Marion,12/1/2016,98
25 Sandoval CUSD 501,Marion,12/1/2016,98
37 Odin PSD 722,Marion,12/24/2016,121
45 Centralia HSD 200,Marion,1/2/2017,130
49 Centralia SD 135,Marion,1/5/2017,133
91 South Central CUD 401,Marion,2/5/2017,164
124 Iuka CCSD 7,Marion,2/26/2017,185
216 Kell Cons SD 2,Marion,4/21/2017,239
233 Salem SD 111,Marion,4/28/2017,246
690 Raccoon Cons SD 1,Marion,After 6/30,Remain Open for the entire year
691 Salem CHSD 600,Marion,After 6/30,Remain Open for the entire year
692 Selmaville CCSD 10,Marion,After 6/30,Remain Open for the entire year
693 Patoka CUSD 100,Marion,After 6/30,Remain Open for the entire year
694 Midland CUSD 7,Marshall,After 6/30,Remain Open for the entire year
695 Henry-Senachwine CUSD 5,Marshall,After 6/30,Remain Open for the entire year
135 Massac UD 1,Mason,3/9/2017,196
349 Midwest Central CUSD 191,Mason,6/20/2017,Remain Open for the entire year
696 Havana CUSD 126,Mason,After 6/30,Remain Open for the entire year
697 Illini Central CUSD 189,Mason,After 6/30,Remain Open for the entire year
698 Joppa-Maple Grove UD 38,Mason,After 6/30,Remain Open for the entire year
283 Bushnell Prairie City CUSD 170,McDonough,5/21/2017,269
699 West Prairie CUSD 103,McDonough,After 6/30,Remain Open for the entire year
700 Macomb CUSD 185,McDonough,After 6/30,Remain Open for the entire year
198 Johnsburg CUSD 12,McHenry,4/9/2017,227
701 HUNTLEY CONS SCHOOL DIST 158,McHenry,After 6/30,Remain Open for the entire year
702 Harvard CUSD 50,McHenry,After 6/30,Remain Open for the entire year
703 Cary CCSD 26,McHenry,After 6/30,Remain Open for the entire year
704 Woodstock CUSD 200,McHenry,After 6/30,Remain Open for the entire year
705 Marengo-Union E Cons D 165,McHenry,After 6/30,Remain Open for the entire year
706 CHSD 155,McHenry,After 6/30,Remain Open for the entire year
707 McHenry CHSD 156,McHenry,After 6/30,Remain Open for the entire year
708 Crystal Lake CCSD 47,McHenry,After 6/30,Remain Open for the entire year
709 Fox River Grove Cons SD 3,McHenry,After 6/30,Remain Open for the entire year
710 Nippersink SD 2,McHenry,After 6/30,Remain Open for the entire year
711 Alden Hebron SD 19,McHenry,After 6/30,Remain Open for the entire year
712 McHenry CCSD 15,McHenry,After 6/30,Remain Open for the entire year
713 Richmond-Burton CHSD 157,McHenry,After 6/30,Remain Open for the entire year
714 Prairie Grove CSD 46,McHenry,After 6/30,Remain Open for the entire year
715 Marengo CHSD 154,McHenry,After 6/30,Remain Open for the entire year
716 Harrison SD 36,McHenry,After 6/30,Remain Open for the entire year
717 Riley CCSD 18,McHenry,After 6/30,Remain Open for the entire year
308 McLean County USD 5,McLean,5/30/2017,278
336 Olympia CUSD 16,McLean,6/16/2017,Remain Open for the entire year
718 Heyworth CUSD 4,McLean,After 6/30,Remain Open for the entire year
719 Lexington CUSD 7,McLean,After 6/30,Remain Open for the entire year
720 LeRoy CUSD 2,McLean,After 6/30,Remain Open for the entire year
721 Bloomington SD 87,McLean,After 6/30,Remain Open for the entire year
722 Tri Valley CUSD 3,McLean,After 6/30,Remain Open for the entire year
723 Ridgeview CUSD 19,McLean,After 6/30,Remain Open for the entire year
211 Porta CUSD 202,Menard,4/16/2017,234
347 Athens CUSD 213,Menard,6/19/2017,Remain Open for the entire year
724 Greenview CUSD 200,Menard,After 6/30,Remain Open for the entire year
725 Mercer County School District 404,Mercer,After 6/30,Remain Open for the entire year
278 Valmeyer CUSD 3,Monroe,5/18/2017,266
726 Waterloo CUSD 5,Monroe,After 6/30,Remain Open for the entire year
727 Columbia CUSD 4,Monroe,After 6/30,Remain Open for the entire year
112 Litchfield CUSD 12,Montgomery ,2/21/2017,180
160 Hillsboro CUSD 3,Montgomery ,3/23/2017,210
234 Nokomis CUSD 22,Montgomery ,4/28/2017,246
342 Panhandle CUSD 2,Montgomery ,6/17/2017,Remain Open for the entire year
728 Triopia CUSD 27,Morgan,After 6/30,Remain Open for the entire year
729 Jacksonville SD 117,Morgan,After 6/30,Remain Open for the entire year
730 Meredosia-Chambersburg CUSD 11,Morgan,After 6/30,Remain Open for the entire year
731 Waverly CUSD 6,Morgan,After 6/30,Remain Open for the entire year
732 Franklin CUSD 1,Morgan,After 6/30,Remain Open for the entire year
733 Sullivan CUSD 300,Moultrie,After 6/30,Remain Open for the entire year
734 Okaw Valley CUSD 302,Moultrie,After 6/30,Remain Open for the entire year
735 Meridian CUSD 223,Ogle,After 6/30,Remain Open for the entire year
736 Rochelle CCSD 231,Ogle,After 6/30,Remain Open for the entire year
737 Creston CCSD 161,Ogle,After 6/30,Remain Open for the entire year
738 Forrestville Valley CUSD 221,Ogle,After 6/30,Remain Open for the entire year
739 Oregon CUSD 220,Ogle,After 6/30,Remain Open for the entire year
740 Polo CUSD 222,Ogle,After 6/30,Remain Open for the entire year
741 Kings Cons SD 144,Ogle,After 6/30,Remain Open for the entire year
742 Eswood CCSD 269,Ogle,After 6/30,Remain Open for the entire year
743 Byron CUSD 226,Ogle,After 6/30,Remain Open for the entire year
744 Rochelle Twp HSD 212,Ogle,After 6/30,Remain Open for the entire year
96 Peoria SD 150,Peoria,2/8/2017,167
242 Limestone CHSD 310,Peoria,5/1/2017,249
326 Princeville CUSD 326,Peoria,6/10/2017,Remain Open for the entire year
350 Pleasant Hill SD 69,Peoria,6/21/2017,Remain Open for the entire year
745 Oak Grove SD 68,Peoria,After 6/30,Remain Open for the entire year
746 Norwood ESD 63,Peoria,After 6/30,Remain Open for the entire year
747 Elmwood CUSD 322,Peoria,After 6/30,Remain Open for the entire year
748 Il Valley Central USD 321,Peoria,After 6/30,Remain Open for the entire year
749 Brimfield CUSD 309,Peoria,After 6/30,Remain Open for the entire year
750 Illini Bluffs CUSD 327,Peoria,After 6/30,Remain Open for the entire year
751 Farmington Central CUSD 265,Peoria,After 6/30,Remain Open for the entire year
752 Pleasant Valley SD 62,Peoria,After 6/30,Remain Open for the entire year
753 Peoria Heights CUSD 325,Peoria,After 6/30,Remain Open for the entire year
754 Monroe SD 70,Peoria,After 6/30,Remain Open for the entire year
755 Bartonville SD 66,Peoria,After 6/30,Remain Open for the entire year
756 DUNLAP C U SCHOOL DIST 323,Peoria,After 6/30,Remain Open for the entire year
757 Limestone Walters CCSD 316,Peoria,After 6/30,Remain Open for the entire year
758 Hollis Cons SD 328,Peoria,After 6/30,Remain Open for the entire year
6 Tamaroa School Dist 5,Perry,10/16/2016,52
14 Duquoin CUSD 300,Perry,11/8/2016,75
97 Dupo CUSD 196,Perry,2/8/2017,167
141 Pinckneyville CHSD 101,Perry,3/13/2017,200
189 Pinckneyville SD 50,Perry,4/6/2017,224
759 CCSD 204,Perry,After 6/30,Remain Open for the entire year
249 Arthur CUSD 305,Piatt,5/4/2017,252
281 Bement CUSD 5,Piatt,5/20/2017,268
288 Cerro Gordo CUSD 100,Piatt,5/23/2017,271
351 Deland-Weldon CUSD 57,Piatt,6/21/2017,Remain Open for the entire year
760 Monticello CUSD 25,Piatt,After 6/30,Remain Open for the entire year
85 Pikeland CUSD 10,Pike,2/3/2017,162
86 Griggsville-Perry CUSD 4,Pike,2/4/2017,163
109 Western CUSD 12,Pike,2/16/2017,175
142 Pleasant Hill CUSD 3,Pike,3/14/2017,201
212 Pope Co CUD 1,Pope,4/16/2017,234
5 Meridian CUSD 101,Pulaski,10/1/2016,37
103 Century CUSD 100,Pulaski,2/11/2017,170
761 Putnam County CUSD 535,Putnam,After 6/30,Remain Open for the entire year
32 Chester CUSD 139,Randolph,12/20/2016,117
80 Sparta CUSD 140,Randolph,1/31/2017,159
167 Prairie Du Rocher CCSD 134,Randolph,3/25/2017,212
175 Coulterville USD 1,Randolph,3/29/2017,216
210 Steeleville CUSD 138,Randolph,4/15/2017,233
762 Red Bud CUSD 132,Randolph,After 6/30,Remain Open for the entire year
763 Chester N HSD 122,Randolph,After 6/30,Remain Open for the entire year
108 East Richland CUSD 1,Richland,2/15/2017,174
764 East Richland CUSD 1,Richland,After 6/30,Remain Open for the entire year
59 Carbon Cliff-Barstow SD 36,Rock Island,1/18/2017,146
258 Riverdale CUSD 100,Rock Island,5/7/2017,255
289 Rock Island SD 41,Rock Island,5/23/2017,271
765 Sherrard CUSD 200,Rock Island,After 6/30,Remain Open for the entire year
766 Rockridge CUSD 300,Rock Island,After 6/30,Remain Open for the entire year
767 United Twp HSD 30,Rock Island,After 6/30,Remain Open for the entire year
768 Moline-Coal Valley CUSD 40,Rock Island,After 6/30,Remain Open for the entire year
769 Silvis SD 34,Rock Island,After 6/30,Remain Open for the entire year
770 Hampton SD 29,Rock Island,After 6/30,Remain Open for the entire year
771 East Moline SD 37,Rock Island,After 6/30,Remain Open for the entire year
19 Harrisburg CUSD 3,Saline,11/16/2016,83
28 Eldorado CUSD 4,Saline,12/16/2016,113
55 Carrier Mills-Stonefort CUSD 2,Saline,1/10/2017,138
272 Galatia CUSD 1,Saline,5/15/2017,263
140 Springfield SD 186,Sangamon,3/12/2017,199
250 Tri City CUSD 1,Sangamon,5/4/2017,252
273 Rochester CUSD 3A,Sangamon,5/15/2017,263
327 Ball Chatham CUSD 5,Sangamon,6/10/2017,Remain Open for the entire year
345 Williamsville CUSD 15,Sangamon,6/18/2017,Remain Open for the entire year
772 Auburn CUSD 10,Sangamon,After 6/30,Remain Open for the entire year
773 Riverton CUSD 14,Sangamon,After 6/30,Remain Open for the entire year
774 Pleasant Plains CUSD 8,Sangamon,After 6/30,Remain Open for the entire year
775 New Berlin CUSD 16,Sangamon,After 6/30,Remain Open for the entire year
776 Pawnee CUSD 11,Sangamon,After 6/30,Remain Open for the entire year
127 Schuyler-Industry CUSD 5,Schuyler,3/3/2017,190
115 Winchester CUSD 1,Scott,2/22/2017,181
777 Scott-Morgan CUSD 2,Scott,After 6/30,Remain Open for the entire year
87 Cowden-Herrick CUSD 3A,Shelby,2/4/2017,163
232 Stewardson-Strasburg CUD 5A,Shelby,4/27/2017,245
244 Central A & M CUD 21,Shelby,5/2/2017,250
778 Shelbyville CUSD 4,Shelby,After 6/30,Remain Open for the entire year
779 Windsor CUSD 1,Shelby,After 6/30,Remain Open for the entire year
8 Brooklyn UD 188,St Clair,10/25/2016,61
15 Cahokia CUSD 187,St Clair,11/9/2016,76
52 Belleville SD 118,St Clair,1/6/2017,134
64 St Libory Cons SD 30,St Clair,1/20/2017,148
67 Marissa CUSD 40,St Clair,1/22/2017,150
75 High Mount SD 116,St Clair,1/28/2017,156
83 East St Louis SD 189,St Clair,2/2/2017,161
101 O Fallon CCSD 90,St Clair,2/10/2017,169
153 Belleville Twp HSD 201,St Clair,3/21/2017,208
161 Harmony Emge SD 175,St Clair,3/23/2017,210
194 Shiloh Village SD 85,St Clair,4/8/2017,226
236 Freeburg CHSD 77,St Clair,4/29/2017,247
263 Grant CCSD 110,St Clair,5/11/2017,259
286 New Athens CUSD 60,St Clair,5/22/2017,270
295 O Fallon Twp HSD 203,St Clair,5/25/2017,273
322 Whiteside SD 115,St Clair,6/6/2017,Remain Open for the entire year
337 Millstadt CCSD 160,St Clair,6/16/2017,Remain Open for the entire year
780 Central SD 104,St Clair,After 6/30,Remain Open for the entire year
781 Belle Valley SD 119,St Clair,After 6/30,Remain Open for the entire year
782 Mascoutah CUD 19,St Clair,After 6/30,Remain Open for the entire year
783 Wolf Branch SD 113,St Clair,After 6/30,Remain Open for the entire year
784 Lebanon CUSD 9,St Clair,After 6/30,Remain Open for the entire year
785 Pontiac-W Holliday SD 105,St Clair,After 6/30,Remain Open for the entire year
786 Freeburg CCSD 70,St Clair,After 6/30,Remain Open for the entire year
787 Signal Hill SD 181,St Clair,After 6/30,Remain Open for the entire year
788 Smithton CCSD 130,St Clair,After 6/30,Remain Open for the entire year
789 Bradford CUSD 1,Stark,After 6/30,Remain Open for the entire year
790 Stark County CUSD 100,Stark,After 6/30,Remain Open for the entire year
152 Freeport SD 145,Stephenson,3/20/2017,207
227 Dakota CUSD 201,Stephenson,4/26/2017,244
256 Orangeville CUSD 203,Stephenson,5/6/2017,254
274 Pearl City CUSD 200,Stephenson,5/15/2017,263
791 Lena Winslow CUSD 202,Stephenson,After 6/30,Remain Open for the entire year
50 South Pekin SD 137,Tazewell,1/5/2017,133
63 Spring Lake CCSD 606,Tazewell,1/19/2017,147
154 East Peoria CHSD 309,Tazewell,3/21/2017,208
179 Pekin PSD 108,Tazewell,4/1/2017,219
204 Deer Creek-Mackinaw CUSD 701,Tazewell,4/12/2017,230
338 Washington SD 52,Tazewell,6/16/2017,Remain Open for the entire year
792 Tremont CUSD 702,Tazewell,After 6/30,Remain Open for the entire year
793 District 50 Schools,Tazewell,After 6/30,Remain Open for the entire year
794 Delavan CUSD 703,Tazewell,After 6/30,Remain Open for the entire year
795 N Pekin & Marquette Hght SD 102,Tazewell,After 6/30,Remain Open for the entire year
796 Creve Coeur SD 76,Tazewell,After 6/30,Remain Open for the entire year
797 Washington CHSD 308,Tazewell,After 6/30,Remain Open for the entire year
798 East Peoria SD 86,Tazewell,After 6/30,Remain Open for the entire year
799 Central SD 51,Tazewell,After 6/30,Remain Open for the entire year
800 Pekin CSD 303,Tazewell,After 6/30,Remain Open for the entire year
801 Morton CUSD 709,Tazewell,After 6/30,Remain Open for the entire year
802 Rankin CSD 98,Tazewell,After 6/30,Remain Open for the entire year
803 Robein SD 85,Tazewell,After 6/30,Remain Open for the entire year
51 Dolton SD 149,Union,1/5/2017,133
126 County of Union Sch Dist No43,Union,3/2/2017,189
136 Anna CCSD 37,Union,3/9/2017,196
185 Lick Creek CCSD 16,Union,4/4/2017,222
220 Shawnee CUSD 84,Union,4/23/2017,241
228 Anna Jonesboro CHSD 81,Union,4/26/2017,244
311 Cobden SUD 17,Union,5/31/2017,279
20 Georgetown-Ridge Farm CUD 4,Vermilion,11/21/2016,88
65 Danville CCSD 118,Vermilion,1/20/2017,148
125 Oakwood CUSD 76,Vermilion,2/28/2017,187
157 Westville CUSD 2,Vermilion,3/22/2017,209
181 Bismarck Henning CUSD,Vermilion,4/2/2017,220
276 Hoopeston Area CUSD 11,Vermilion,5/16/2017,264
325 Rossville-Alvin CUSD 7,Vermilion,6/9/2017,Remain Open for the entire year
354 Salt Fork CUD 512,Vermilion,6/25/2017,Remain Open for the entire year
804 Potomac CUSD 10,Vermilion,After 6/30,Remain Open for the entire year
805 Armstrong-Ellis Cons SD 61,Vermilion,After 6/30,Remain Open for the entire year
806 Armstrong Twp HSD 225,Vermilion,After 6/30,Remain Open for the entire year
23 Wabash CUSD 348,Wabash,11/29/2016,96
30 Allendale CCSD 17,Wabash,12/19/2016,116
111 Monmouth-Roseville CUSD 238,Wabash,2/20/2017,179
287 United CUSD 304,Wabash,5/22/2017,270
120 Ashley CCSD 15,Washington,2/24/2017,183
237 Oakdale CCSD 1,Washington,4/29/2017,247
333 Irvington CCSD 11,Washington,6/14/2017,Remain Open for the entire year
807 Nashville CCSD 49,Washington,After 6/30,Remain Open for the entire year
808 Nashville CHSD 99,Washington,After 6/30,Remain Open for the entire year
809 West Washington Co CUD 10,Washington,After 6/30,Remain Open for the entire year
116 Wayne City CUSD 100,Wayne,2/22/2017,181
191 Fairfield Comm H S Dist 225,Wayne,4/7/2017,225
290 New Hope CCSD 6,Wayne,5/23/2017,271
810 Jasper CCSD 17,Wayne,After 6/30,Remain Open for the entire year
811 Fairfield PSD 112,Wayne,After 6/30,Remain Open for the entire year
812 North Wayne CUSD 200,Wayne,After 6/30,Remain Open for the entire year
813 Geff CCSD 14,Wayne,After 6/30,Remain Open for the entire year
33 Norris City-Omaha-Enfield CUSD 3,White,12/20/2016,117
128 Grayville CUSD 1,White,3/3/2017,190
131 Carmi-White County CUSD 5,White,3/6/2017,193
44 Rock Falls ESD 13,Whiteside,1/1/2017,129
259 Sterling CUSD 5,Whiteside,5/7/2017,255
265 River Bend CUSD 2,Whiteside,5/12/2017,260
300 East Coloma - Nelson CESD 20,Whiteside,5/27/2017,275
814 Montmorency CCSD 145,Whiteside,After 6/30,Remain Open for the entire year
815 Morrison CUSD 6,Whiteside,After 6/30,Remain Open for the entire year
816 Rock Falls Twp HSD 301,Whiteside,After 6/30,Remain Open for the entire year
817 Erie CUSD 1,Whiteside,After 6/30,Remain Open for the entire year
104 Joliet PSD 86,Will,2/14/2017,173
172 Chaney-Monge SD 88,Will,3/28/2017,215
187 Crete Monee CUSD 201U,Will,4/5/2017,223
213 Plainfield SD 202,Will,4/16/2017,234
239 Peotone CUSD 207U,Will,4/30/2017,248
257 Lincoln Way CHSD 210,Will,5/6/2017,254
298 Taft SD 90,Will,5/26/2017,274
334 Valley View CUSD 365U,Will,6/14/2017,Remain Open for the entire year
818 Rockdale SD 84,Will,After 6/30,Remain Open for the entire year
819 Fairmont SD 89,Will,After 6/30,Remain Open for the entire year
820 Manhattan SD 114,Will,After 6/30,Remain Open for the entire year
821 Joliet Twp HSD 204,Will,After 6/30,Remain Open for the entire year
822 Richland GSD 88A,Will,After 6/30,Remain Open for the entire year
823 New Lenox SD 122,Will,After 6/30,Remain Open for the entire year
824 Homer CCSD 33C,Will,After 6/30,Remain Open for the entire year
825 Lockport SD 91,Will,After 6/30,Remain Open for the entire year
826 Summit Hill SD 161,Will,After 6/30,Remain Open for the entire year
827 Mokena SD 159,Will,After 6/30,Remain Open for the entire year
828 Union SD 81,Will,After 6/30,Remain Open for the entire year
829 Will County SD 92,Will,After 6/30,Remain Open for the entire year
830 Lockport Twp HSD 205,Will,After 6/30,Remain Open for the entire year
831 Wilmington CUSD 209U,Will,After 6/30,Remain Open for the entire year
832 Reed Custer CUSD 255U,Will,After 6/30,Remain Open for the entire year
833 Troy CCSD 30C,Will,After 6/30,Remain Open for the entire year
834 Elwood CCSD 203,Will,After 6/30,Remain Open for the entire year
835 Beecher CUSD 200U,Will,After 6/30,Remain Open for the entire year
836 Laraway CCSD 70C,Will,After 6/30,Remain Open for the entire year
837 Frankfort CCSD 157C,Will,After 6/30,Remain Open for the entire year
838 Channahon SD 17,Will,After 6/30,Remain Open for the entire year
34 Herrin CUSD 4,Williamson,12/20/2016,117
73 Crab Orchard CUSD 3,Williamson,1/26/2017,154
98 Johnston City CUSD 1,Williamson,2/8/2017,167
173 Marion CUSD 2,Williamson,3/28/2017,215
186 Carterville CUSD 5,Williamson,4/4/2017,222
113 Harlem UD 122,Winnebago,2/21/2017,180
183 Rockford SD 205,Winnebago,4/3/2017,221
839 Rockton SD 140,Winnebago,After 6/30,Remain Open for the entire year
840 County of Winnebago SD 320,Winnebago,After 6/30,Remain Open for the entire year
841 Hononegah CHD 207,Winnebago,After 6/30,Remain Open for the entire year
842 Kinnikinnick CCSD 131,Winnebago,After 6/30,Remain Open for the entire year
843 Prairie Hill CCSD 133,Winnebago,After 6/30,Remain Open for the entire year
844 Winnebago CUSD 323,Winnebago,After 6/30,Remain Open for the entire year
845 Durand CUSD 322,Winnebago,After 6/30,Remain Open for the entire year
846 Pecatonica CUSD 321,Winnebago,After 6/30,Remain Open for the entire year
847 Shirland CCSD 134,Winnebago,After 6/30,Remain Open for the entire year
182 Fieldcrest CUSD 6,Woodford,4/2/2017,220
252 El Paso-Gridley CUSD 11,Woodford,5/5/2017,253
315 Metamora CCSD 1,Woodford,6/2/2017,Remain Open for the entire year
353 Lowpoint-Washburn CUSD 21,Woodford,6/22/2017,Remain Open for the entire year
848 Eureka CUD 140,Woodford,After 6/30,Remain Open for the entire year
849 Riverview CCSD 2,Woodford,After 6/30,Remain Open for the entire year
850 Roanoke Benson CUSD 60,Woodford,After 6/30,Remain Open for the entire year
851 County of Woodford School,Woodford,After 6/30,Remain Open for the entire year
852 Germantown Hills SD 69,Woodford,After 6/30,Remain Open for the entire year
264 Prophetstown-Lyndon-Tampico CUSD Whiteside,,5/12/2017,260
